method,resume_id,split,precision_at_5,precision_at_10,recall_at_10,ndcg_at_5,ndcg_at_10,mrr
skills,r_de_mid,test,0.6,0.4,0.6666666666666666,0.6333086701779173,0.7210094857853322,1.0
skills,r_ds_senior,test,0.4,0.3,0.6,0.4238854223621527,0.483488554869601,0.3333333333333333
skills,r_be_mid,test,0.4,0.2,0.5,0.5358589858606037,0.554868172291663,1.0
tfidf,r_de_mid,test,0.6,0.6,1.0,0.5863758665064474,0.8208719376712307,1.0
tfidf,r_ds_senior,test,0.4,0.3,0.6,0.7083599806056791,0.7259544966524759,1.0
tfidf,r_be_mid,test,0.6,0.3,0.75,0.7249865728379926,0.7249865728379926,1.0
hashing,r_de_mid,test,0.8,0.6,1.0,0.752375558857962,0.8514707540353811,1.0
hashing,r_ds_senior,test,0.4,0.2,0.4,0.6831891574227098,0.6630108534090214,1.0
hashing,r_be_mid,test,0.4,0.2,0.5,0.5591698444545221,0.5591698444545221,1.0
hybrid,r_de_mid,test,0.8,0.6,1.0,0.8414654686547978,0.8664486288752331,1.0
hybrid,r_ds_senior,test,0.4,0.4,0.8,0.7679931726217104,0.8316150946387562,1.0
hybrid,r_be_mid,test,0.6,0.4,1.0,0.7249865728379926,0.8580508778554072,1.0
